Nanoplot_File,RBK,RL_mean,RQ_mean,RL_median,RQ_median,Total_reads,RL_n50,RL_stdev,Total_bases,total_Gb,RL_max,type,Nanoplot_File_short,Run_ID,Run_ID_pb,library_ID,platform,hsid,wellid,tube_label,concat,hybrid,subsample,amount,hsap,ONT_Q20,dna_extraction_date,cleanup_date,cleanup_method,lib_prep_kit
HsapMBHSID_549_FB00259103.ont_pass_ONT_WGS.R000-638.L003-118_nanoplot.html,1,2531,13,1176,14,208777,5310,3789,528511392,0.529,107223,,HsapMBHSID_549_FB00259103,R000-638,NaN,L003-118,ont,549,b4,FB00259103,0,0,0,NaN,,0,,,,
HsapMBHSID_553_FB00258936.ont_pass_ONT_WGS.R000-638.L003-119_nanoplot.html,1,2427,13,740,14,210588,7742,4976,511092185,0.511,126617,,HsapMBHSID_553_FB00258936,R000-638,NaN,L003-119,ont,553,c4,FB00258936,0,0,0,NaN,,0,,,,
HsapMBHSID_603_FB00936960.ont_pass_ONT_WGS.R000-638.L003-120_nanoplot.html,1,3451,13,1291,15,107669,8642,5918,371561606,0.372,202697,,HsapMBHSID_603_FB00936960,R000-638,NaN,L003-120,ont,603,d4,FB00936960,0,0,0,NaN,,0,,,,
HsapMBHSID_699_FB00855176.ont_pass_ONT_WGS.R000-638.L003-121_nanoplot.html,1,1872,13,670,13,470288,5206,3499,880437692,0.880,185565,,HsapMBHSID_699_FB00855176,R000-638,NaN,L003-121,ont,699,e4,FB00855176,0,0,0,NaN,,0,,,,
HsapMBHSID_742_FB01923469.ont_pass_ONT_WGS.R000-638.L003-122_nanoplot.html,1,4801,14,1877,15,3125,13495,8233,15003670,0.015,94551,,HsapMBHSID_742_FB01923469,R000-638,NaN,L003-122,ont,742,f4,FB01923469,0,0,0,NaN,,0,,,,
HsapMBHSID_791_FB01923141.ont_pass_ONT_WGS.R000-638.L003-123_nanoplot.html,1,3839,14,1563,15,28395,9288,6068,109035210,0.109,98984,,HsapMBHSID_791_FB01923141,R000-638,NaN,L003-123,ont,791,g4,FB01923141,0,0,0,NaN,,0,,,,
HsapMBHSID_798_FB00267565.ont_pass_ONT_WGS.R000-638.L003-124_nanoplot.html,1,4710,14,2557,16,66465,9431,6113,313071273,0.313,185982,,HsapMBHSID_798_FB00267565,R000-638,NaN,L003-124,ont,798,h4,FB00267565,0,0,0,NaN,,0,,,,
HsapMBHSID_526_FB00942023.ont_pass_ONT_WGS.R000-638.L003-125_nanoplot.html,1,2266,13,762,14,92676,6674,4148,210024585,0.210,94555,,HsapMBHSID_526_FB00942023,R000-638,NaN,L003-125,ont,526,a5,FB00942023,0,0,0,NaN,,0,,,,
HsapMBHSID_549_FB00929817.ont_pass_ONT_WGS.R000-638.L003-126_nanoplot.html,1,2545,13,996,14,42695,6274,4383,108688331,0.109,127438,,HsapMBHSID_549_FB00929817,R000-638,NaN,L003-126,ont,549,b5,FB00929817,0,0,0,NaN,,0,,,,
HsapMBHSID_553_FB00941897.ont_pass_ONT_WGS.R000-638.L003-127_nanoplot.html,1,2023,12,621,13,125114,6984,4340,253135569,0.253,149677,,HsapMBHSID_553_FB00941897,R000-638,NaN,L003-127,ont,553,c5,FB00941897,0,0,0,NaN,,0,,,,
HsapMBHSID_603_FB00258078.ont_pass_ONT_WGS.R000-638.L003-128_nanoplot.html,1,2780,13,1155,14,237354,6398,4498,660034430,0.660,132281,,HsapMBHSID_603_FB00258078,R000-638,NaN,L003-128,ont,603,d5,FB00258078,0,0,0,NaN,,0,,,,
HsapMBHSID_699_FB00934057.ont_pass_ONT_WGS.R000-638.L003-129_nanoplot.html,1,2044,13,848,14,19299,5034,4115,39463308,0.039,104477,,HsapMBHSID_699_FB00934057,R000-638,NaN,L003-129,ont,699,e5,FB00934057,0,0,0,NaN,,0,,,,
HsapMBHSID_742_FB00934212.ont_pass_ONT_WGS.R000-638.L003-130_nanoplot.html,1,1695,12,588,13,16967,5207,3774,28762451,0.029,100342,,HsapMBHSID_742_FB00934212,R000-638,NaN,L003-130,ont,742,f5,FB00934212,0,0,0,NaN,,0,,,,
HsapMBHSID_791_FB00934229.ont_pass_ONT_WGS.R000-638.L003-131_nanoplot.html,1,4095,14,1754,15,269770,9383,6327,1104839201,1.105,119179,,HsapMBHSID_791_FB00934229,R000-638,NaN,L003-131,ont,791,g5,FB00934229,0,0,0,NaN,,0,,,,
HsapMBHSID_798_FB00942219.ont_pass_ONT_WGS.R000-638.L003-132_nanoplot.html,1,2651,13,968,14,48101,7002,4837,127553060,0.128,97815,,HsapMBHSID_798_FB00942219,R000-638,NaN,L003-132,ont,798,h5,FB00942219,0,0,0,NaN,,0,,,,
HsapMBHSID_526_FB00935408.ont_pass_ONT_WGS.R000-638.L003-133_nanoplot.html,1,4631,14,2108,15,62651,10391,6699,290142962,0.290,135795,,HsapMBHSID_526_FB00935408,R000-638,NaN,L003-133,ont,526,a6,FB00935408,0,0,0,NaN,,0,,,,
HsapMBHSID_549_FB00936043.ont_pass_ONT_WGS.R000-638.L003-134_nanoplot.html,1,1134,12,578,13,125191,1912,2295,142047313,0.142,69357,,HsapMBHSID_549_FB00936043,R000-638,NaN,L003-134,ont,549,b6,FB00936043,0,0,0,NaN,,0,,,,
HsapMBHSID_553_FB01123264.ont_pass_ONT_WGS.R000-638.L003-135_nanoplot.html,1,2159,13,912,14,39482,4806,3506,85243200,0.085,108296,,HsapMBHSID_553_FB01123264,R000-638,NaN,L003-135,ont,553,c6,FB01123264,0,0,0,NaN,,0,,,,
HsapMBHSID_699_FB00052197.ont_pass_ONT_WGS.R000-638.L003-137_nanoplot.html,1,1375,12,657,13,15574,2693,3007,21414666,0.021,66926,,HsapMBHSID_699_FB00052197,R000-638,NaN,L003-137,ont,699,e6,FB00052197,0,0,0,NaN,,0,,,,
HsapMBHSID_742_FB01122668.ont_pass_ONT_WGS.R000-638.L003-138_nanoplot.html,1,3160,13,986,14,7603,9032,5846,24025488,0.024,82832,,HsapMBHSID_742_FB01122668,R000-638,NaN,L003-138,ont,742,f6,FB01122668,0,0,0,NaN,,0,,,,
HsapMBHSID_791_FB01126148.ont_pass_ONT_WGS.R000-638.L003-139_nanoplot.html,1,2486,13,853,14,6924,6693,4294,17217127,0.017,65371,,HsapMBHSID_791_FB01126148,R000-638,NaN,L003-139,ont,791,g6,FB01126148,0,0,0,NaN,,0,,,,
HsapMBHSID_798_FB00258005.ont_pass_ONT_WGS.R000-638.L003-140_nanoplot.html,1,4174,13,1215,14,16683,13258,7988,69644003,0.070,125140,,HsapMBHSID_798_FB00258005,R000-638,NaN,L003-140,ont,798,h6,FB00258005,0,0,0,NaN,,0,,,,
HsapMBHSID_603_FB00258078.ont_pass_ONT_WGS_D5_SRE.R000-640.L003-162_nanoplot.html,NaN,3439,15,1290,16,24418485,8825,5649,83995682354,83.996,444911,,HsapMBHSID_603_FB00258078,R000-640,NaN,L003-162,ont,603,d5,FB00258078,0,0,0,NaN,,0,,,,
HsapMBHSID_798_FB00258005.ont_pass_ONT_WGS_H6_SRE.R000-641.L003-163_nanoplot.html,NaN,7251,15,3553,17,6245801,15474,9953,45288998883,45.289,547650,,HsapMBHSID_798_FB00258005,R000-641,NaN,L003-163,ont,798,h6,FB00258005,0,0,0,NaN,,0,,,,
HsapMBHSID_699_FB00052197.ont_pass_ONT_WGS_E6_SRE.R000-642.L003-164_nanoplot.html,NaN,3114,14,1107,15,927335,8025,6195,2888328692,2.888,337079,,HsapMBHSID_699_FB00052197,R000-642,NaN,L003-164,ont,699,e6,FB00052197,0,0,0,NaN,,0,,,,
HsapMBHSID_553_FB01123264.ont_pass_ONT_WGS_c6.R000-650.L003-175_nanoplot.html,NaN,1040,14,623,15,1491914,1508,1431,1551725790,1.552,98237,,HsapMBHSID_553_FB01123264,R000-650,NaN,L003-175,ont,553,c6,FB01123264,0,0,0,NaN,,0,,,,
HsapMBHSID_699_FB00052197.ont_pass_ONT_WGS_e6.R000-651.L003-178_nanoplot.html,NaN,3825,15,1473,16,11374982,9279,7537,43510424273,43.510,911457,,HsapMBHSID_699_FB00052197,R000-651,NaN,L003-178,ont,699,e6,FB00052197,0,0,0,NaN,,0,,,,
HsapMBHSID_791_FB01126148.ont_pass_ONT_WGS_g6.R000-652.L003-177_nanoplot.html,NaN,2586,15,1374,16,4041627,4567,4104,10455293176,10.455,721208,,HsapMBHSID_791_FB01126148,R000-652,NaN,L003-177,ont,791,g6,FB01126148,0,0,0,NaN,,0,,,,
HsapMBHSID_742_FB01122668.ont_pass_ONT_WGS_f6.R000-653.L003-176_nanoplot.html,NaN,2765,14,1153,15,17117517,6349,4779,47336590717,47.337,271478,,HsapMBHSID_742_FB01122668,R000-653,NaN,L003-176,ont,742,f6,FB01122668,0,0,0,NaN,,0,,,,
HsapMBHSID_526_FB00862391.ont_pass_ONT_WGS_a1_0.4x_ampure.R000-658.L003-187_nanoplot.html,NaN,6240,16,4111,18,819208,9896,6682,5112139897,5.112,174042,,HsapMBHSID_526_FB00862391,R000-658,NaN,L003-187,ont,526,a1,FB00862391,0,0,0,NaN,,0,,,,
HsapMBHSID_549_FB00863048.ont_pass_ONT_WGS_b1_0.4x_ampure.R000-658.L003-188_nanoplot.html,NaN,4283,16,2906,18,10490614,6788,4672,44937371766,44.937,372537,,HsapMBHSID_549_FB00863048,R000-658,NaN,L003-188,ont,549,b1,FB00863048,0,0,0,NaN,,0,,,,
HsapMBHSID_553_FB00863032.ont_pass_ONT_WGS_c1_0.4x_ampure.R000-658.L003-189_nanoplot.html,NaN,4351,16,2520,18,2390669,8046,5381,10402862478,10.403,302575,,HsapMBHSID_553_FB00863032,R000-658,NaN,L003-189,ont,553,c1,FB00863032,0,0,0,NaN,,0,,,,
HsapMBHSID_603_FB00860553.ont_pass_ONT_WGS_d1_0.4x_ampure.R000-658.L003-190_nanoplot.html,NaN,2201,16,1004,19,3372119,4768,3809,7423317119,7.423,183617,,HsapMBHSID_603_FB00860553,R000-658,NaN,L003-190,ont,603,d1,FB00860553,0,0,0,NaN,,0,,,,
HsapMBHSID_699_FB00056255.ont_pass_ONT_WGS_e1_0.4x_ampure.R000-658.L003-191_nanoplot.html,NaN,1212,16,705,18,2088031,1941,1972,2531815442,2.532,146698,,HsapMBHSID_699_FB00056255,R000-658,NaN,L003-191,ont,699,e1,FB00056255,0,0,0,NaN,,0,,,,
HsapMBHSID_742_FB00854279.ont_pass_ONT_WGS_f1_0.4x_ampure.R000-658.L003-192_nanoplot.html,NaN,1540,16,657,18,634223,3386,3355,977078627,0.977,122683,,HsapMBHSID_742_FB00854279,R000-658,NaN,L003-192,ont,742,f1,FB00854279,0,0,0,NaN,,0,,,,
HsapMBHSID_791_FB00864487.ont_pass_ONT_WGS_g1_0.4x_ampure.R000-658.L003-193_nanoplot.html,NaN,2889,16,1400,18,358197,6116,4825,1035106394,1.035,158028,,HsapMBHSID_791_FB00864487,R000-658,NaN,L003-193,ont,791,g1,FB00864487,0,0,0,NaN,,0,,,,
HsapMBHSID_798_FB00864436.ont_pass_ONT_WGS_h1_0.4x_ampure.R000-658.L003-194_nanoplot.html,NaN,3634,16,1431,18,224309,8886,6337,815204290,0.815,124808,,HsapMBHSID_798_FB00864436,R000-658,NaN,L003-194,ont,798,h1,FB00864436,0,0,0,NaN,,0,,,,
HsapMBHSID_526_FB00942023.ont_pass_ONT_WGS_a5_0.4x_ampure.R000-658.L003-195_nanoplot.html,NaN,2370,16,1092,17,1738893,5059,4594,4122628333,4.123,206820,,HsapMBHSID_526_FB00942023,R000-658,NaN,L003-195,ont,526,a5,FB00942023,0,0,0,NaN,,0,,,,
HsapMBHSID_549_FB00929817.ont_pass_ONT_WGS_b5_0.4x_ampure.R000-658.L003-196_nanoplot.html,NaN,2204,16,1004,18,435200,4720,4066,959380572,0.959,151543,,HsapMBHSID_549_FB00929817,R000-658,NaN,L003-196,ont,549,b5,FB00929817,0,0,0,NaN,,0,,,,
HsapMBHSID_526_FB00055451.ont_pass_ONT_WGS_a2_0.4x_ampure.R000-659.L003-197_nanoplot.html,NaN,7917,16,3918,18,1359304,16621,10615,10762304724,10.762,204414,,HsapMBHSID_526_FB00055451,R000-659,NaN,L003-197,ont,526,a2,FB00055451,0,0,0,NaN,,0,,,,
HsapMBHSID_549_FB00056005.ont_pass_ONT_WGS_b2_0.4x_ampure.R000-659.L003-198_nanoplot.html,NaN,2317,16,640,17,2296126,6578,4464,5321767701,5.322,709883,,HsapMBHSID_549_FB00056005,R000-659,NaN,L003-198,ont,549,b2,FB00056005,0,0,0,NaN,,0,,,,
HsapMBHSID_553_FB00256007.ont_pass_ONT_WGS_c2_0.4x_ampure.R000-659.L003-199_nanoplot.html,NaN,2521,16,1010,18,7153913,6249,4364,18035213637,18.035,266133,,HsapMBHSID_553_FB00256007,R000-659,NaN,L003-199,ont,553,c2,FB00256007,0,0,0,NaN,,0,,,,
HsapMBHSID_603_FB00260359.ont_pass_ONT_WGS_d2_0.4x_ampure.R000-659.L003-200_nanoplot.html,NaN,4173,16,2716,18,4283977,6479,5104,17877581204,17.878,248994,,HsapMBHSID_603_FB00260359,R000-659,NaN,L003-200,ont,603,d2,FB00260359,0,0,0,NaN,,0,,,,
HsapMBHSID_699_FB00853589.ont_pass_ONT_WGS_e2_0.4x_ampure.R000-659.L003-201_nanoplot.html,NaN,5572,16,2760,18,577212,11452,8165,3216500466,3.217,235893,,HsapMBHSID_699_FB00853589,R000-659,NaN,L003-201,ont,699,e2,FB00853589,0,0,0,NaN,,0,,,,
HsapMBHSID_742_FB00860607.ont_pass_ONT_WGS_f2_0.4x_ampure.R000-659.L003-202_nanoplot.html,NaN,3147,16,1710,18,10606487,5814,4957,33379756738,33.380,201752,,HsapMBHSID_742_FB00860607,R000-659,NaN,L003-202,ont,742,f2,FB00860607,0,0,0,NaN,,0,,,,
HsapMBHSID_791_FB00856368.ont_pass_ONT_WGS_g2_0.4x_ampure.R000-659.L003-203_nanoplot.html,NaN,5552,16,3033,18,866317,10594,7912,4810320821,4.810,275356,,HsapMBHSID_791_FB00856368,R000-659,NaN,L003-203,ont,791,g2,FB00856368,0,0,0,NaN,,0,,,,
HsapMBHSID_798_FB00853579.ont_pass_ONT_WGS_h2_0.4x_ampure.R000-659.L003-204_nanoplot.html,NaN,5363,16,1780,18,568897,16948,9385,3051004287,3.051,186085,,HsapMBHSID_798_FB00853579,R000-659,NaN,L003-204,ont,798,h2,FB00853579,0,0,0,NaN,,0,,,,
HsapMBHSID_553_FB00941897.ont_pass_ONT_WGS_c5_0.4x_ampure.R000-659.L003-205_nanoplot.html,NaN,1348,15,698,17,1151732,2255,2968,1552741909,1.553,177829,,HsapMBHSID_553_FB00941897,R000-659,NaN,L003-205,ont,553,c5,FB00941897,0,0,0,NaN,,0,,,,
HsapMBHSID_742_FB00934212.ont_pass_ONT_WGS_f5_0.4x_ampure.R000-659.L003-206_nanoplot.html,NaN,2693,15,862,17,240,7425,5380,646403,0.001,47389,,HsapMBHSID_742_FB00934212,R000-659,NaN,L003-206,ont,742,f5,FB00934212,0,0,0,NaN,,0,,,,
HsapMBHSID_526_FB00852347.ont_pass_ONT_WGS_batch3.R000-667.L003-246_nanoplot.html,NaN,4893,16,2697,18,584381,8988,6404,2859774423,2.860,164407,,HsapMBHSID_526_FB00852347,R000-667,NaN,L003-246,ont,526,a3,FB00852347,0,0,0,NaN,,0,,,,
HsapMBHSID_549_FB00851106.ont_pass_ONT_WGS_batch3.R000-667.L003-247_nanoplot.html,NaN,3560,16,1980,18,1614986,6389,4807,5750539232,5.751,228107,,HsapMBHSID_549_FB00851106,R000-667,NaN,L003-247,ont,549,b3,FB00851106,0,0,0,NaN,,0,,,,
HsapMBHSID_553_FB00252480.ont_pass_ONT_WGS_batch3.R000-667.L003-248_nanoplot.html,NaN,3450,16,2004,18,1244048,6327,4579,4292100911,4.292,156647,,HsapMBHSID_553_FB00252480,R000-667,NaN,L003-248,ont,553,c3,FB00252480,0,0,0,NaN,,0,,,,
HsapMBHSID_603_FB00924738.ont_pass_ONT_WGS_batch3.R000-667.L003-249_nanoplot.html,NaN,3185,16,1682,18,1586993,5843,4968,5055613707,5.056,199018,,HsapMBHSID_603_FB00924738,R000-667,NaN,L003-249,ont,603,d3,FB00924738,0,0,0,NaN,,0,,,,
