Taxa,unclassified,total,unclassified_percent,database,method,dataset,method_dataset,name
HsapMB540,100121000,223814995,44.73382134,standard (0 cMAGs),seqwell HiFi,original,seqwell HiFi_original,791.FB00259882.PB.G1.P3_Vega.SW.G09
HsapMB540,22347999,223814997,9.985031968,986 cMAG,seqwell HiFi,original,seqwell HiFi_original,791.FB00259882.PB.G1.P3_Vega.SW.G09
HsapMB442,122515999,258905999,47.32064899,standard (0 cMAGs),seqwell HiFi,original,seqwell HiFi_original,791.FB00856368.PB.G1.P3_RevioSPRQ_s4.SW.H08
HsapMB442,26701999,258905994,10.31339545,986 cMAG,seqwell HiFi,original,seqwell HiFi_original,791.FB00856368.PB.G1.P3_RevioSPRQ_s4.SW.H08
HsapMB532,109857000,227876999,48.20890238,standard (0 cMAGs),seqwell HiFi,original,seqwell HiFi_original,791.FB00856368.PB.G1.P3_Vega.SW.H08
HsapMB532,26590000,227876999,11.66857564,986 cMAG,seqwell HiFi,original,seqwell HiFi_original,791.FB00856368.PB.G1.P3_Vega.SW.H08
HsapMB441,107354000,226491996,47.39858445,standard (0 cMAGs),seqwell HiFi,original,seqwell HiFi_original,791.FB00864487.PB.G1.P3_RevioSPRQ_s4.SW.G08
HsapMB441,23235000,226491997,10.25864062,986 cMAG,seqwell HiFi,original,seqwell HiFi_original,791.FB00864487.PB.G1.P3_RevioSPRQ_s4.SW.G08
HsapMB531,101514000,212958997,47.6683312,standard (0 cMAGs),seqwell HiFi,original,seqwell HiFi_original,791.FB00864487.PB.G1.P3_Vega.SW.G08
HsapMB531,22925999,212958994,10.76545234,986 cMAG,seqwell HiFi,original,seqwell HiFi_original,791.FB00864487.PB.G1.P3_Vega.SW.G08
HsapMB458,261566000,473902996,55.19399586,standard (0 cMAGs),seqwell HiFi,original,seqwell HiFi_original,791.FB00934229.PB.G1.P3_RevioSPRQ_s4.SW.G10
HsapMB458,80503000,473902991,16.98723189,986 cMAG,seqwell HiFi,original,seqwell HiFi_original,791.FB00934229.PB.G1.P3_RevioSPRQ_s4.SW.G10
HsapMB548,234531999,420351988,55.79419289,standard (0 cMAGs),seqwell HiFi,original,seqwell HiFi_original,791.FB00934229.PB.G1.P3_Vega.SW.G10
HsapMB548,77487999,420351983,18.43407481,986 cMAG,seqwell HiFi,original,seqwell HiFi_original,791.FB00934229.PB.G1.P3_Vega.SW.G10
HsapMB459,9525000,15053000,63.2764233,standard (0 cMAGs),seqwell HiFi,original,seqwell HiFi_original,791.FB01126148.PB.G1.P3_RevioSPRQ_s4.SW.H10
HsapMB459,4893000,15053000,32.50514848,986 cMAG,seqwell HiFi,original,seqwell HiFi_original,791.FB01126148.PB.G1.P3_RevioSPRQ_s4.SW.H10
HsapMB549,9545000,15214998,62.73415218,standard (0 cMAGs),seqwell HiFi,original,seqwell HiFi_original,791.FB01126148.PB.G1.P3_Vega.SW.H10
HsapMB549,4757999,15214997,31.27177087,986 cMAG,seqwell HiFi,original,seqwell HiFi_original,791.FB01126148.PB.G1.P3_Vega.SW.H10
HsapMB451,191752000,393349990,48.7484441,standard (0 cMAGs),seqwell HiFi,original,seqwell HiFi_original,791.FB01923141.PB.G1.P3_RevioSPRQ_s4.SW.H09
HsapMB451,48359000,393349987,12.29414049,986 cMAG,seqwell HiFi,original,seqwell HiFi_original,791.FB01923141.PB.G1.P3_RevioSPRQ_s4.SW.H09
HsapMB541,177914000,359993990,49.42138062,standard (0 cMAGs),seqwell HiFi,original,seqwell HiFi_original,791.FB01923141.PB.G1.P3_Vega.SW.H09
HsapMB541,46574000,359993988,12.93743828,986 cMAG,seqwell HiFi,original,seqwell HiFi_original,791.FB01923141.PB.G1.P3_Vega.SW.H09
HsapMB457,173655000,308769987,56.24089365,standard (0 cMAGs),seqwell HiFi,original,seqwell HiFi_original,798.FB00258005.PB.G1.P3_RevioSPRQ_s4.SW.F10
HsapMB457,58132999,308769996,18.82728236,986 cMAG,seqwell HiFi,original,seqwell HiFi_original,798.FB00258005.PB.G1.P3_RevioSPRQ_s4.SW.F10
HsapMB547,159371000,282288994,56.45668212,standard (0 cMAGs),seqwell HiFi,original,seqwell HiFi_original,798.FB00258005.PB.G1.P3_Vega.SW.F10
