HSAP_FILTER,GROUP,SUBSET_GROUP,ASSEMBLY_METHOD,DATA_TYPE,Completeness,Contamination,Contig_Number,Avg_Depth,Coding_Density,Average_Gene_Length,Genome_Size,GC_Content,Total_Coding_Sequences,closest_placement_ani,closest_placement_af,Complete,High-Quality+F:R,best_include,difference_percent_cMAG,difference_percent_hqMAG,30Gb,hybrid,Total_bases,Mb,data_size_Gb,Read_length_N50,Median_read_quality,Number_of_reads,data_avail_PB_ONT
NO,H6,SUB_05G,metaflye,ont,2474.0499999999993,61.96,165,460,23.284,8117.280244,74640445,12.169999999999998,71551,2316.5099999999998,20.460000000000004,3,15,,,,0,0,,,,,,,
NO,H6,SUB_05G,metaflye,pb,3651.2700000000004,42.83,249,867,33.24700000000001,12336.252995899998,108573152,17.25,96802,3478.3199999999993,30.73,9,30,,,,0,0,,,,,,,
NO,H6,SUB_05G,metamdbg,ont,765,13.92,36,386,6.9879999999999995,2601.115976,22272495,3.39,19720,773.41,6.76,3,7,,,,0,0,,,,,,,
NO,H6,SUB_05G,metamdbg,pb,3283.1299999999997,33.51,128,877,29.791999999999998,11200.222842500001,99455493,15.56,87644,2997.41,26.160000000000004,14,30,,,,0,0,,,,,,,
NO,H6,SUB_10G,metaflye,ont,3391.4799999999996,76.39999999999999,217,763,32.087,11079.790642100003,98445020,17,95336,3288.439999999999,29.359999999999996,12,23,,,,0,0,,,,,,,
NO,H6,SUB_10G,metaflye,pb,5539.78,69.86000000000001,288,1888,50.689999999999976,19003.295368099993,158857117,26.790000000000003,140576,5416.540000000002,47.90000000000001,21,45,,,,0,0,,,,,,,
NO,H6,SUB_10G,metamdbg,ont,1193.93,25.18,69,819,11.417,4196.104280900001,33418533,5.66,30245,1263.1100000000001,10.64,4,8,,,,0,0,,,,,,,
NO,H6,SUB_10G,metamdbg,pb,5695.469999999999,49.16000000000001,232,2074,51.828,19609.38917,166509183,27.89,146162,5317.679999999999,46.81999999999999,32,53,,,,0,0,,,,,,,
NO,H6,SUB_20G,metaflye,ont,5518.990000000002,100.18,314,2815,52.07499999999998,18342.508787699997,156452789,27.399999999999988,148054,5395.329999999997,47.519999999999996,20,37,,,,0,0,,,,,,,
NO,H6,SUB_20G,metaflye,pb,8027.2599999999975,94.13999999999999,361,4341,72.34699999999998,27032.84457259999,226375356,38.039999999999985,201335,7715.170000000003,67.72999999999999,32,71,,,,0,0,,,,,,,
NO,H6,SUB_20G,metamdbg,ont,2135.6200000000003,43.04,150,1567,20.214000000000002,7457.223808499999,59154205,10.210000000000003,53117,2026.8000000000002,17.610000000000003,6,16,,,,0,0,,,,,,,
NO,H6,SUB_20G,metamdbg,pb,7471.499999999998,88.91999999999996,276,3869,68.09199999999998,25469.11417,203500135,35.84,180619,7045.850000000001,61.74,42,64,,,,0,0,,,,,,,
NO,H6,SUB_30G,metaflye,ont,7190.870000000002,132.02000000000004,393,4162,67.573,23908.47987,202475272,35.819999999999986,190700,7026.290000000002,61.629999999999995,22,48,,,,0,0,,,,,,,
NO,H6,SUB_30G,metaflye,pb,9152.32,106.07,383,6341,82.89199999999997,30957.231,255616413,43.92,227593,8790.289999999997,78.06,37,82,,,,0,0,,,,,,,
NO,H6,SUB_30G,metamdbg,ont,3623.0299999999993,78.24000000000002,225,3845,34.190999999999995,12666.64575,105242617,17.78,94495,3573.9700000000007,30.51,16,23,,,,0,0,,,,,,,
NO,H6,SUB_30G,metamdbg,pb,9852.559999999996,96.52999999999999,380,6131,89.05399999999997,33261.72113,276382967,47.77000000000001,246435,9279.310000000001,81.29,56,88,,,,0,0,,,,,,,
NO,H6,SUB_40G,metaflye,ont,9156.850000000006,181.99999999999994,572,6251,85.78299999999999,30199.019836699998,264791025,45.77000000000001,253946,8875.760000000004,78.32999999999998,28,65,,,,0,0,,,,,,,
NO,H6,SUB_40G,metaflye,pb,11999.119999999997,126.33000000000007,562,9134,110.00599999999996,40865.29652,341729346,59.500000000000014,305805,11502.79999999999,100.54000000000005,53,104,,,,0,0,,,,,,,
NO,H6,SUB_40G,metamdbg,ont,4075.27,88.47000000000001,258,5429,38.44199999999999,14227.942669200002,115049236,19.9,103050,3663.7999999999997,31.63,14,27,,,,0,0,,,,,,,
NO,H6,SUB_40G,metamdbg,pb,11573.529999999997,131.75,456,8613,104.90300000000002,39074.813815199996,329811003,56.71000000000001,294655,10820.840000000004,94.60000000000004,70,100,,,,0,0,,,,,,,
NO,H6,SUB_ALL,metaflye,ont,9405.929999999997,178.50000000000009,465,8813,86.932,30998.298995899993,275560483,46.48000000000002,260355,8694.919999999998,77.75,35,71,,,,0,0,,,,,,,
NO,H6,SUB_ALL,metaflye,pb,25041.86999999999,279.74999999999983,1145,22439,228.10299999999995,84715.50099740001,717478882,123.07999999999986,642433,23774.360000000004,208.43999999999997,114,218,,,,0,0,,,,,,,
NO,H6,SUB_ALL,metamdbg,ont,5253.33,138.93,312,7634,49.897,18516.675530300006,143376224,25.55999999999999,128126,5006.5,43.21,22,36,,,,0,0,,,,,,,
NO,H6,SUB_ALL,metamdbg,pb,26147.019999999982,301.61,1041,23439,237.6370000000002,88312.52368070002,743562798,129.10999999999993,665889,24719.909999999985,215.0900000000001,151,228,,,,0,0,,,,,,,
YES,A1,ALL,metaflye,HYBRID,1191.6200000000001,10.129999999999999,69,1199,10.347000000000001,3822.0953431999997,38174385,5.950000000000001,34503,1161.6899999999998,9.87,7,12,0,,,0,1,5758020513,5758,5.758,9148,24,817860,1
YES,A1,ALL,metamdbg,HYBRID,1604.77,17.71,83,1232,14.685,5482.558700399999,49359070,8.43,44254,1553.8700000000001,13.220000000000002,9,12,0,,,0,1,5758020513,5758,5.758,9148,24,817860,1
YES,A2,ALL,metaflye,HYBRID,995.98,2.2399999999999998,29,978,8.564,3392.441728,31997601,4.529999999999999,26868,964.55,8.290000000000001,7,10,0,,,0,1,4598724719,4599,4.599,13811,22,557259,1
YES,A2,ALL,metamdbg,HYBRID,1555.2000000000003,7.34,45,1054,13.785999999999998,5314.648299,46235901,7.58,39747,1449.41,12.559999999999999,11,14,0,,,0,1,4598724719,4599,4.599,13811,22,557259,1
YES,A3,ALL,metaflye,HYBRID,2600.4000000000005,27.269999999999996,127,3888,23.680999999999994,8871.78541,81935923,11.920000000000002,72320,2312.4500000000003,20.01,13,21,0,,,0,1,15112638011,15113,15.113,11222,36,1763589,1
YES,A3,ALL,metamdbg,HYBRID,2725.85,31.189999999999998,96,3921,24.579,9305.582955,83725741,12.15,73069,2399.55,20.560000000000002,18,23,0,,,0,1,15112638011,15113,15.113,11222,36,1763589,1
YES,A4,ALL,metaflye,HYBRID,3968.909999999999,33.33,194,2657,35.79600000000001,13599.11935,129459504,18.299999999999997,112755,3664.5599999999986,31.91,13,33,0,,,0,1,11293399049,11293,11.293,12411,32,1270788,1
YES,A4,ALL,metamdbg,HYBRID,4207.1,57.2,209,2334,38.409000000000006,14443.946604800003,133043191,19.629999999999995,117043,4049.5200000000004,35.09,22,36,0,,,0,1,11293399049,11293,11.293,12411,32,1270788,1
YES,A5,ALL,metaflye,HYBRID,2938.0999999999995,34.53,168,1426,27.142999999999997,10475.210984100002,97073577,13.790000000000001,83540,2967.71,24.569999999999993,8,22,0,,,0,1,7368362737,7368,7.368,8821,30,1287577,1
YES,A5,ALL,metamdbg,HYBRID,3395.9400000000005,53.94999999999999,144,1290,30.651999999999994,11646.884700599996,112397077,15.32,98047,3247.1200000000013,27.660000000000004,15,28,0,,,0,1,7368362737,7368,7.368,8821,30,1287577,1
YES,A6,ALL,metaflye,HYBRID,8766.499999999996,108.46,328,11318,79.65699999999998,29766.29063120001,259041363,41.25,230444,8268.630000000005,71.30999999999999,45,73,0,,,0,1,57656554797,57657,57.657,11786,30,5762236,1
YES,A6,ALL,metaflye,ont,10198.499999999996,198.14,493,10316,96.35199999999998,33785.741828000006,290298539,50.25000000000002,278043,9866.789999999999,85.16999999999996,35,70,0,,,0,0,77473336937,77473,77,27272,17,6305383,1
YES,A6,ALL,metaflye,pb,8628.439999999999,122.88999999999999,362,7232,78.73200000000001,29244.255748600004,256379014,40.45000000000001,229324,7879.689999999999,68.35999999999999,33,72,0,,,0,0,36509387134,36509,37,9698,33,4436775,1
YES,A6,ALL,metamdbg,HYBRID,11103.149999999994,151.88000000000002,452,12816,100.89299999999999,37225.82648,326961991,51.87000000000001,293612,9899.5,85.97999999999999,57,93,0,,,0,1,57656554797,57657,57.657,11786,30,5762236,1
YES,A6,ALL,metamdbg,ont,6477.619999999999,123.78999999999999,346,8871,60.404,22236.6484,192941465,30.510000000000005,173535,6168.590000000001,53.479999999999976,22,48,0,,,0,0,77473336937,77473,77,27272,17,6305383,1
YES,A6,ALL,metamdbg,pb,8631.43,125.77999999999999,313,6125,77.971,28952.946719599997,255301499,39.65000000000001,227515,7872.220000000004,68.29,47,75,0,,,0,0,36509387134,36509,37,9698,33,4436775,1
YES,A6,SUB_01G,metaflye,ont,880.9200000000001,37.4,34,107,8.606,3012.2472014999994,31918012,4.48,30672,966.74,8.309999999999999,2,4,1,,,1,0,1000000136,1000,1,27158,17,81678,1
YES,A6,SUB_01G,metaflye,pb,1126.99,13.03,80,149,10.436000000000002,4088.806586,39066813,5.3999999999999995,33120,1161.02,9.860000000000001,2,9,0,,,1,0,1000002031,1000,1,9690,33,121466,1
YES,A6,SUB_01G,metamdbg,ont,99.72,2.53,8,14,0.903,325.5431655,2698727,0.41,2502,98.46,0.88,0,1,0,,,1,0,1000000136,1000,1,27158,17,81678,1
YES,A6,SUB_01G,metamdbg,pb,914.1600000000001,7.6499999999999995,51,103,8.753,3461.4974873999995,31137211,4.549999999999999,26166,966.71,7.9399999999999995,2,5,1,1,1.25,1,0,1000002031,1000,1,9690,33,121466,1
YES,A6,SUB_05G,metaflye,ont,2289.2,47.11,95,707,21.692,7756.931653799999,75496628,10.96,70064,2215.46,19.86,6,13,1,,,1,0,5000004468,5000,5,27267,17,406805,1
YES,A6,SUB_05G,metaflye,pb,2544.87,30.04,93,916,23.61,9010.620076,83108911,11.929999999999998,71980,2321.8699999999994,20.18,9,19,0,,,1,0,5000009081,5000,5,9689,33,607775,1
YES,A6,SUB_05G,metamdbg,ont,1088.6899999999998,24.699999999999996,119,373,10.44,3881.100084,35763416,5.1,31797,1062.6599999999999,8.74,0,6,0,,,1,0,5000004468,5000,5,27267,17,406805,1
YES,A6,SUB_05G,metamdbg,pb,3176.0599999999995,42.580000000000005,126,1107,28.90000000000001,10917.83801,99747791,14.790000000000001,86722,2903.690000000001,25.330000000000002,11,25,1,1.833333333,1.923076923,1,0,5000009081,5000,5,9689,33,607775,1
YES,A6,SUB_10G,metaflye,ont,3459.4300000000003,67.94,142,1302,32.104000000000006,11515.409998500001,107754261,16.779999999999998,100061,3273.7400000000002,28.669999999999998,13,24,1,,,1,0,10000003821,10000,10,27340,17,812270,1
YES,A6,SUB_10G,metaflye,pb,4331.05,56.710000000000015,244,2277,39.44200000000001,14883.00898,134912047,19.75,117943,4144.919999999999,36.29,13,33,0,,,1,0,10000006498,10000,10,9697,33,1215550,1
YES,A6,SUB_10G,metamdbg,ont,1414.22,20.09,53,762,13.088,4993.9308906999995,45498883,6.579999999999999,39509,1354.08,11.700000000000001,6,13,0,,,1,0,10000003821,10000,10,27340,17,812270,1
YES,A6,SUB_10G,metamdbg,pb,4902.3,66.32000000000002,227,2383,44.71999999999999,16895.875267900003,156117812,22.34,136423,4628.820000000001,40.38000000000002,21,42,1,1.615384615,1.75,1,0,10000006498,10000,10,9697,33,1215550,1
YES,A6,SUB_20G,metaflye,ont,5537.870000000001,106.52999999999999,229,3220,51.76499999999999,18301.65224,167964172,26.780000000000005,158838,5282.430000000001,45.24000000000001,19,36,1,,,1,0,20000026600,20000,20,27276,17,1628283,1
YES,A6,SUB_20G,metaflye,pb,6070.169999999999,67.82999999999997,285,3623,55.103,20590.90077,180501342,27.950000000000003,160143,5591.110000000001,49.15,25,55,0,,,1,0,20000000295,20000,20,9697,33,2430246,1
YES,A6,SUB_20G,metamdbg,ont,2352.9400000000005,59.32,140,1711,21.872999999999998,8191.806608,70456386,11.02,62012,2215.0899999999992,19.540000000000006,6,18,0,,,1,0,20000026600,20000,20,27276,17,1628283,1
YES,A6,SUB_20G,metamdbg,pb,6712.58,81.98,230,3637,60.374,22619.72042,200762891,30.27,177474,6153.200000000001,54.02999999999999,33,60,1,1.736842105,1.666666667,1,0,20000000295,20000,20,9697,33,2430246,1
YES,A6,SUB_30G,metaflye,ont,7098.459999999998,157.12,306,4001,65.83,23392.651006699998,213814606,33.84000000000001,201224,6446.4800000000005,56.30999999999998,22,47,1,,,1,0,30000014889,30000,30,27264,17,2442298,1
YES,A6,SUB_30G,metaflye,pb,7413.749999999997,70.14999999999999,327,5018,67.362,24907.582479599998,213999469,34.59000000000002,192010,6937.950000000001,60.46,29,67,0,,,1,0,30000009945,30000,30,9700,33,3645119,1
YES,A6,SUB_30G,metamdbg,ont,3110.589999999999,60.63000000000001,154,2726,28.891000000000002,10685.257522800002,92200097,14.47,82070,3095.2599999999993,27.209999999999994,16,25,0,,,1,0,30000014889,30000,30,27264,17,2442298,1
YES,A6,SUB_30G,metamdbg,pb,8281.739999999996,115.09999999999998,331,5520,75.248,28107.712020799998,248226731,39.31000000000001,220271,7482.939999999997,64.59,38,68,1,1.727272727,1.446808511,1,0,30000009945,30000,30,9700,33,3645119,1
YES,A6,SUB_40G,metaflye,ont,7576.689999999999,147.13,324,4545,70.28500000000001,24863.747383100006,228672679,36.330000000000005,217011,7400.520000000001,64.97999999999999,29,56,0,,,0,0,40000009543,40000,40,27298,17,3252659,1
YES,A6,SUB_40G,metamdbg,ont,4159.2699999999995,93.07000000000001,227,6075,39.332999999999984,14637.057333399998,123710421,19.979999999999997,109710,4259.910000000001,37.21999999999999,16,26,0,,,0,0,40000009543,40000,40,27298,17,3252659,1
YES,B1,ALL,metaflye,HYBRID,5512.799999999999,55.41999999999999,312,8645,49.70099999999999,18461.684641999993,166150158,26.129999999999995,148509,5210.18,44.849999999999994,15,47,0,,,0,1,38893957623,38894,38.894,7421,24,7139034,1
