HSAP_FILTER,GROUP,SUBSET_GROUP,ASSEMBLY_METHOD,DATA_TYPE,Completeness,Contamination,Contig_Number,Avg_Depth,Coding_Density,Average_Gene_Length,Genome_Size,GC_Content,Total_Coding_Sequences,closest_placement_ani,closest_placement_af,Complete,High-Quality+F:R,best_include,difference_percent_cMAG,difference_percent_hqMAG,30Gb,hybrid,Total_bases,Mb,data_size_Gb,Read_length_N50,Median_read_quality,Number_of_reads,data_avail_PB_ONT
YES,H6,SUB_05G,metamdbg,ont,940.54,20.310000000000002,73,467,8.79,3232.512026,26592037,4.3500000000000005,23843,970.3299999999999,8.39,3,7,0,,,1,0,5000003721,5000,5,13200,16,1000377,1
YES,H6,SUB_05G,metamdbg,pb,3937.179999999999,67.58,173,983,35.907000000000004,13497.523090700002,119159451,19.049999999999997,105003,3568.5000000000005,31.23,22,29,1,4.4,1.8125,1,0,5000015514,5000,5,9804,36,628173,1
YES,H6,SUB_10G,metaflye,ont,3808.099999999999,86.27999999999999,247,1386,36.513999999999996,13031.29033,116315237,19.440000000000005,109370,3672.3700000000003,31.74,10,26,1,,,1,0,10000027794,10000,10,13205,16,1997533,1
YES,H6,SUB_10G,metaflye,pb,5533.200000000001,41.599999999999994,288,2044,50.677000000000014,19086.158788999997,156219572,26.85,137612,5414.29,47.74999999999999,17,48,0,,,1,0,10000000130,10000,10,9798,36,1257517,1
YES,H6,SUB_10G,metamdbg,ont,950.57,21.590000000000003,71,583,8.735,3174.7665260999997,26049879,4.15,23499,960.6899999999999,8.29,3,7,0,,,1,0,10000027794,10000,10,13205,16,1997533,1
YES,H6,SUB_10G,metamdbg,pb,5357.159999999998,71.63000000000002,309,1813,50.07999999999997,18926.520909900002,151668856,26.91,133298,5119.63,44.690000000000005,22,41,1,2.2,1.576923077,1,0,10000000130,10000,10,9798,36,1257517,1
YES,H6,SUB_20G,metaflye,ont,5971.570000000001,114.19000000000003,348,2971,56.40299999999998,20047.74677,175010893,30.489999999999995,164428,5984.610000000001,51.82999999999999,17,42,1,,,1,0,20000042457,20000,20,13187,16,3998025,1
YES,H6,SUB_20G,metaflye,pb,7633.32,96.65000000000002,317,4330,69.782,26134.00483,213518838,36.869999999999976,189141,7320.969999999999,64.6,29,65,0,,,1,0,20000005479,20000,20,9797,36,2515141,1
YES,H6,SUB_20G,metamdbg,ont,2609.4099999999994,65.41,212,1997,24.574999999999996,9107.596195800003,72684300,12.540000000000001,65286,2415.2799999999997,21.230000000000004,7,18,0,,,1,0,20000042457,20000,20,13187,16,3998025,1
YES,H6,SUB_20G,metamdbg,pb,7505.480000000001,82.32,297,4230,69.091,25983.449381700004,207803568,36.26999999999999,183243,7217.660000000001,62.68000000000002,39,62,1,2.294117647,1.476190476,1,0,20000005479,20000,20,9797,36,2515141,1
YES,H6,SUB_30G,metaflye,ont,6583.0300000000025,104.9,354,4281,61.739999999999995,22118.22504,187831147,32.33999999999999,174600,6555.6,57.02,22,49,1,,,1,0,30000002979,30000,30,13221,16,5990548,1
YES,H6,SUB_30G,metaflye,pb,9741.969999999998,98.32000000000001,407,6608,87.98899999999996,32896.694832900015,274750819,47.08999999999999,244622,9274.960000000001,82.01,39,88,0,,,1,0,30000002150,30000,30,9803,36,3771885,1
YES,H6,SUB_30G,metamdbg,ont,3099.0299999999997,58.769999999999996,211,3520,29.787,11020.23244,92364127,15.110000000000001,82943,3067.4899999999993,25.510000000000005,12,22,0,,,1,0,30000002979,30000,30,13221,16,5990548,1
YES,H6,SUB_30G,metamdbg,pb,9622.990000000003,114.58000000000001,343,6381,87.34700000000001,32576.59253,264485937,47.09000000000004,236003,9179.42,79.79,56,80,1,2.545454545,1.632653061,1,0,30000002150,30000,30,9803,36,3771885,1
YES,H6,SUB_40G,metaflye,ont,8312.64,184.36,519,5431,78.844,27671.09621,239845611,42.10000000000001,230759,7914.029999999999,69.61,21,54,1,,,0,0,40000011358,40000,40,13208,16,7991545,1
YES,H6,SUB_40G,metaflye,pb,11056.049999999997,124.21,510,7469,101.23899999999999,37651.177163500004,312914133,54.66000000000002,279992,10624.02,93.50000000000003,46,94,0,,,0,0,40000003250,40000,40,9798,36,5030603,1
YES,H6,SUB_40G,metamdbg,ont,3459.25,74.83999999999999,191,4424,32.28799999999999,11966.706246200001,92189056,16.409999999999997,82506,3555.7599999999998,30.55,13,24,0,,,0,0,40000011358,40000,40,13208,16,7991545,1
YES,H6,SUB_40G,metamdbg,pb,11760.379999999996,147.11999999999998,453,8686,106.522,39685.24632,335211042,58.00000000000002,299213,11013.110000000004,96.23000000000008,69,102,1,3.285714286,1.888888889,0,0,40000003250,40000,40,9798,36,5030603,1
